Sample in Buffer,Trigger,counter[7:0],run_enable_q,direction_q,load_q,free_tick
0,0,f,1,0,0,0
1,0,10,1,0,0,0
2,0,11,1,0,0,0
3,0,12,1,0,0,0
4,0,13,1,0,0,0
5,0,14,1,0,0,0
6,0,15,1,0,0,0
7,0,16,1,0,0,0
8,0,17,1,0,0,0
9,0,18,1,0,0,0
10,0,19,1,0,0,0
11,0,1a,1,0,0,0
12,0,1b,1,0,0,0
13,0,1c,1,0,0,1
14,0,1d,1,0,0,1
15,0,1e,1,0,0,1
16,0,1f,1,0,0,1
17,0,20,1,0,0,1
18,0,21,1,0,0,1
19,0,22,1,0,0,1
20,0,23,1,0,0,1
21,0,24,1,0,0,1
22,0,25,1,0,0,1
23,0,26,1,0,0,1
24,0,27,1,0,0,1
25,0,28,1,0,0,1
26,0,29,1,0,0,1
27,0,2a,1,0,0,1
28,0,2b,1,0,0,1
29,0,2c,1,0,0,0
30,0,2d,1,0,0,0
31,0,2e,1,0,0,0
32,0,2f,1,0,0,0
33,0,30,1,0,0,0
34,0,31,1,0,0,0
35,0,32,1,0,0,0
36,0,33,1,0,0,0
37,0,34,1,0,0,0
38,0,35,1,0,0,0
39,0,36,1,0,0,0
40,0,37,1,0,0,0
41,0,38,1,0,0,0
42,0,39,1,0,0,0
43,0,3a,1,0,0,0
44,0,3b,1,0,0,0
45,0,3c,1,0,0,1
46,0,3d,1,0,0,1
47,0,3e,1,0,0,1
48,0,3f,1,0,0,1
49,0,40,1,0,0,1
50,0,41,1,0,0,1
51,0,42,1,0,0,1
52,0,43,1,0,0,1
53,0,44,1,0,0,1
54,0,45,1,0,0,1
55,0,46,1,0,0,1
56,0,47,1,0,0,1
57,0,48,1,0,0,1
58,0,49,1,0,0,1
59,0,4a,1,0,0,1
60,0,4b,1,0,0,1
61,0,4c,1,0,0,0
62,0,4d,1,0,0,0
63,0,4e,1,0,0,0
64,0,4f,1,0,0,0
65,0,50,1,0,0,0
66,0,51,1,0,0,0
67,0,52,1,0,0,0
68,0,53,1,0,0,0
69,0,54,1,0,0,0
70,0,55,1,0,0,0
71,0,56,1,0,0,0
72,0,57,1,0,0,0
73,0,58,1,0,0,0
74,0,59,1,0,0,0
75,0,5a,1,0,0,0
76,0,5b,1,0,0,0
77,0,5c,1,0,0,1
78,0,5d,1,0,0,1
79,0,5e,1,0,0,1
80,0,5f,1,0,0,1
81,0,60,1,0,0,1
82,0,61,1,0,0,1
83,0,62,1,0,0,1
84,0,63,1,0,0,1
85,0,64,1,0,0,1
86,0,65,1,0,0,1
87,0,66,1,0,0,1
88,0,67,1,0,0,1
89,0,68,1,0,0,1
90,0,69,1,0,0,1
91,0,6a,1,0,0,1
92,0,6b,1,0,0,1
93,0,6c,1,0,0,0
94,0,6d,1,0,0,0
95,0,6e,1,0,0,0
96,0,6f,1,0,0,0
97,0,70,1,0,0,0
98,0,71,1,0,0,0
99,0,72,1,0,0,0
100,0,73,1,0,0,0
101,0,74,1,0,0,0
102,0,75,1,0,0,0
103,0,76,1,0,0,0
104,0,77,1,0,0,0
105,0,78,1,0,0,0
106,0,79,1,0,0,0
107,0,7a,1,0,0,0
108,0,7b,1,0,0,0
109,0,7c,1,0,0,1
110,0,7d,1,0,0,1
111,0,7e,1,0,0,1
112,0,7f,1,0,0,1
113,0,80,1,0,0,1
114,0,81,1,0,0,1
115,0,82,1,0,0,1
116,0,83,1,0,0,1
117,0,84,1,0,0,1
118,0,85,1,0,0,1
119,0,86,1,0,0,1
120,0,87,1,0,0,1
