Sample in Buffer,Trigger,counter[7:0],run_enable_q,direction_q,load_q,free_tick
0,0,c0,1,1,0,1
1,0,bf,1,1,0,1
2,0,be,1,1,0,1
3,0,bd,1,1,0,1
4,0,bc,1,1,0,0
5,0,bb,1,1,0,0
6,0,ba,1,1,0,0
7,0,b9,1,1,0,0
8,0,b8,1,1,0,0
9,0,b7,1,1,0,0
10,0,b6,1,1,0,0
11,0,b5,1,1,0,0
12,0,b4,1,1,0,0
13,0,b3,1,1,0,0
14,0,b2,1,1,0,0
15,0,b1,1,1,0,0
16,0,b0,1,1,0,0
17,0,af,1,1,0,0
18,0,ae,1,1,0,0
19,0,ad,1,1,0,0
20,0,ac,1,1,0,1
21,0,ab,1,1,0,1
22,0,aa,1,1,0,1
23,0,a9,1,1,0,1
24,0,a8,1,1,0,1
25,0,a7,1,1,0,1
26,0,a6,1,1,0,1
27,0,a5,1,1,0,1
28,0,a4,1,1,0,1
29,0,a3,1,1,0,1
30,0,a2,1,1,0,1
31,0,a1,1,1,0,1
32,0,a0,1,1,0,1
33,0,9f,1,1,0,1
34,0,9e,1,1,0,1
35,0,9d,1,1,0,1
36,0,9c,1,1,0,0
37,0,9b,1,1,0,0
38,0,9a,1,1,0,0
39,0,99,1,1,0,0
40,0,98,1,1,0,0
41,0,97,1,1,0,0
42,0,96,1,1,0,0
43,0,95,1,1,0,0
44,0,94,1,1,0,0
45,0,93,1,1,0,0
46,0,92,1,1,0,0
47,0,91,1,1,0,0
48,0,90,1,1,0,0
49,0,8f,1,1,0,0
50,0,8e,1,1,0,0
51,0,8d,1,1,0,0
52,0,8c,1,1,0,1
53,0,8b,1,1,0,1
54,0,8a,1,1,0,1
55,0,89,1,1,0,1
56,0,88,1,1,0,1
57,0,87,1,1,0,1
58,0,86,1,1,0,1
59,0,85,1,1,0,1
60,0,84,1,1,0,1
61,0,83,1,1,0,1
62,0,82,1,1,0,1
63,0,81,1,1,0,1
64,0,80,1,1,0,1
65,0,7f,1,1,0,1
66,0,7e,1,1,0,1
67,0,7d,1,1,0,1
68,0,7c,1,1,0,0
69,0,7b,1,1,0,0
70,0,7a,1,1,0,0
71,0,79,1,1,0,0
72,0,78,1,1,0,0
73,0,77,1,1,0,0
74,0,76,1,1,0,0
75,0,75,1,1,0,0
76,0,74,1,1,0,0
77,0,73,1,1,0,0
78,0,72,1,1,0,0
79,0,71,1,1,0,0
80,0,70,1,1,0,0
81,0,6f,1,1,0,0
82,0,6e,1,1,0,0
83,0,6d,1,1,0,0
84,0,6c,1,1,0,1
85,0,6b,1,1,0,1
86,0,6a,1,1,0,1
87,0,69,1,1,0,1
88,0,68,1,1,0,1
89,0,67,1,1,0,1
90,0,66,1,1,0,1
