Sample in Buffer,Trigger,counter[7:0],fsm_state[3:0]
0,1,98,0
1,0,99,0
2,0,9a,0
3,0,9b,0
4,0,9c,0
5,0,9d,0
6,0,9e,0
7,0,9f,0
8,0,a0,1
9,0,a1,1
10,0,a2,1
11,0,a3,1
12,0,a4,1
13,0,a5,1
14,0,a6,1
15,0,a7,1
16,0,a8,1
17,0,a9,1
18,0,aa,1
19,0,ab,1
20,0,ac,1
21,0,ad,1
22,0,ae,1
23,0,af,1
24,0,b0,1
25,0,b1,1
26,0,b2,1
27,0,b3,1
28,0,b4,1
29,0,b5,1
30,0,b6,1
31,0,b7,1
32,0,b8,1
33,0,b9,1
34,0,ba,1
35,0,bb,1
36,0,bc,1
37,0,bd,1
38,0,be,1
39,0,bf,1
40,0,c0,2
41,0,c1,2
42,0,c2,2
43,0,c3,2
44,0,c4,2
45,0,c5,2
46,0,c6,2
47,0,c7,2
48,0,c8,2
49,0,c9,2
50,0,ca,2
51,0,cb,2
52,0,cc,2
53,0,cd,2
54,0,ce,2
55,0,cf,2
56,0,d0,2
57,0,d1,2
58,0,d2,2
59,0,d3,2
60,0,d4,2
61,0,d5,2
62,0,d6,2
63,0,d7,2
64,0,d8,2
65,0,d9,2
66,0,da,2
67,0,db,2
68,0,dc,2
69,0,dd,2
70,0,de,2
71,0,df,2
72,0,e0,3
73,0,e1,3
74,0,e2,3
75,0,e3,3
76,0,e4,3
77,0,e5,3
78,0,e6,3
79,0,e7,3
80,0,e8,3
81,0,e9,3
82,0,ea,3
83,0,eb,3
84,0,ec,3
85,0,ed,3
86,0,ee,3
87,0,ef,3
88,0,f0,3
89,0,f1,3
90,0,f2,3
91,0,f3,3
92,0,f4,3
93,0,f5,3
94,0,f6,3
95,0,f7,3
96,0,f8,3
97,0,f9,3
98,0,fa,3
99,0,fb,3
100,0,fc,3
101,0,fd,3
102,0,fe,3
103,0,ff,3
104,0,0,0
105,0,1,0
106,0,2,0
107,0,3,0
108,0,4,0
109,0,5,0
110,0,6,0
111,0,7,0
112,0,8,0
113,0,9,0
114,0,a,0
115,0,b,0
116,0,c,0
117,0,d,0
118,0,e,0
119,0,f,0
120,0,10,0
121,0,11,0
122,0,12,0
123,0,13,0
124,0,14,0
125,0,15,0
126,0,16,0
127,0,17,0
128,0,18,0
129,0,19,0
130,0,1a,0
131,0,1b,0
132,0,1c,0
133,0,1d,0
134,0,1e,0
135,0,1f,0
136,0,20,1
137,0,21,1
138,0,22,1
139,0,23,1
140,0,24,1
141,0,25,1
142,0,26,1
143,0,27,1
144,0,28,1
145,0,29,1
146,0,2a,1
147,0,2b,1
148,0,2c,1
149,0,2d,1
150,0,2e,1
151,0,2f,1
152,0,30,1
153,0,31,1
154,0,32,1
155,0,33,1
156,0,34,1
157,0,35,1
158,0,36,1
159,0,37,1
160,0,38,1
161,0,39,1
162,0,3a,1
163,0,3b,1
164,0,3c,1
165,0,3d,1
166,0,3e,1
167,0,3f,1
168,0,40,2
169,0,41,2
170,0,42,2
171,0,43,2
172,0,44,2
173,0,45,2
174,0,46,2
175,0,47,2
176,0,48,2
177,0,49,2
178,0,4a,2
179,0,4b,2
180,0,4c,2
181,0,4d,2
182,0,4e,2
183,0,4f,2
184,0,50,2
185,0,51,2
186,0,52,2
187,0,53,2
188,0,54,2
189,0,55,2
190,0,56,2
191,0,57,2
192,0,58,2
193,0,59,2
194,0,5a,2
195,0,5b,2
196,0,5c,2
197,0,5d,2
198,0,5e,2
199,0,5f,2
200,0,60,3
201,0,61,3
202,0,62,3
203,0,63,3
204,0,64,3
205,0,65,3
206,0,66,3
207,0,67,3
208,0,68,3
209,0,69,3
210,0,6a,3
211,0,6b,3
212,0,6c,3
213,0,6d,3
214,0,6e,3
215,0,6f,3
216,0,70,3
217,0,71,3
218,0,72,3
219,0,73,3
220,0,74,3
221,0,75,3
222,0,76,3
223,0,77,3
224,0,78,3
225,0,79,3
226,0,7a,3
227,0,7b,3
228,0,7c,3
229,0,7d,3
230,0,7e,3
231,0,7f,3
232,0,80,0
233,0,81,0
234,0,82,0
235,0,83,0
236,0,84,0
237,0,85,0
238,0,86,0
239,0,87,0
240,0,88,0
241,0,89,0
242,0,8a,0
243,0,8b,0
244,0,8c,0
245,0,8d,0
246,0,8e,0
247,0,8f,0
248,0,90,0
249,0,91,0
250,0,92,0
251,0,93,0
252,0,94,0
253,0,95,0
254,0,96,0
255,0,97,0
256,0,98,0
257,0,99,0
258,0,9a,0
259,0,9b,0
260,0,9c,0
261,0,9d,0
262,0,9e,0
263,0,9f,0
264,0,a0,1
265,0,a1,1
266,0,a2,1
267,0,a3,1
268,0,a4,1
269,0,a5,1
270,0,a6,1
271,0,a7,1
272,0,a8,1
273,0,a9,1
274,0,aa,1
275,0,ab,1
276,0,ac,1
277,0,ad,1
278,0,ae,1
279,0,af,1
280,0,b0,1
281,0,b1,1
282,0,b2,1
283,0,b3,1
284,0,b4,1
285,0,b5,1
286,0,b6,1
287,0,b7,1
288,0,b8,1
289,0,b9,1
290,0,ba,1
291,0,bb,1
292,0,bc,1
293,0,bd,1
294,0,be,1
295,0,bf,1
296,0,c0,2
297,0,c1,2
298,0,c2,2
299,0,c3,2
300,0,c4,2
301,0,c5,2
302,0,c6,2
303,0,c7,2
304,0,c8,2
305,0,c9,2
306,0,ca,2
307,0,cb,2
308,0,cc,2
309,0,cd,2
310,0,ce,2
311,0,cf,2
312,0,d0,2
313,0,d1,2
314,0,d2,2
315,0,d3,2
316,0,d4,2
317,0,d5,2
318,0,d6,2
319,0,d7,2
320,0,d8,2
321,0,d9,2
322,0,da,2
323,0,db,2
324,0,dc,2
325,0,dd,2
326,0,de,2
327,0,df,2
328,0,e0,3
329,0,e1,3
330,0,e2,3
